time;game;playerid;win/lose;
0:3:19 ;BlackJack;76561198036774377;30;
0:3:35 ;BlackJack;76561198036774377;40;
0:3:38 ;BlackJack;76561198036774377;-20;
0:3:41 ;BlackJack;76561198036774377;30;
0:3:53 ;BlackJack;76561198036774377;-20;
0:4:3 ;BlackJack;76561198036774377;30;
0:4:6 ;BlackJack;76561198036774377;-20;
0:4:9 ;BlackJack;76561198036774377;30;
0:4:20 ;BlackJack;76561198036774377;-20;
0:4:26 ;BlackJack;76561198036774377;30;
0:4:29 ;BlackJack;76561198036774377;-20;
0:4:34 ;BlackJack;76561198036774377;-20;
0:4:39 ;BlackJack;76561198036774377;-20;
0:5:0 ;RatRace;76561198036774377;-30;
0:5:24 ;RatRace;76561198036774377;-30;
0:5:57 ;RatRace;76561198036774377;-30;
0:6:32 ;LuckyWheel;76561198036774377;-50;
0:6:44 ;LuckyWheel;76561198036774377;-50;
0:6:57 ;LuckyWheel;76561198036774377;-50;
0:7:7 ;LuckyWheel;76561198036774377;100;
0:7:24 ;LuckyWheel;76561198036774377;-50;
0:7:44 ;DiceGame;76561198036774377;-10;
0:7:51 ;DiceGame;76561198036774377;-10;
