time;game;playerid;win/lose;
1:21:32 ;LuckyWheel;76561198157174770;250;
1:21:45 ;LuckyWheel;76561198157174770;100;
1:22:2 ;LuckyWheel;76561198157174770;-50;
1:22:27 ;LuckyWheel;76561198157174770;-50;
1:22:43 ;LuckyWheel;76561198157174770;-50;
1:22:52 ;LuckyWheel;76561198157174770;-50;
1:23:8 ;LuckyWheel;76561198157174770;-50;
1:23:21 ;LuckyWheel;76561198157174770;-50;
1:23:34 ;LuckyWheel;76561198157174770;-50;
1:23:49 ;LuckyWheel;76561198157174770;150;
1:24:6 ;LuckyWheel;76561198157174770;-50;
1:24:16 ;LuckyWheel;76561198157174770;100;
1:24:31 ;LuckyWheel;76561198157174770;-50;
1:24:49 ;LuckyWheel;76561198157174770;-50;
1:25:6 ;LuckyWheel;76561198157174770;-50;
1:25:23 ;LuckyWheel;76561198157174770;-50;
1:25:37 ;LuckyWheel;76561198157174770;100;
1:25:52 ;LuckyWheel;76561198157174770;-50;
1:26:9 ;LuckyWheel;76561198157174770;75;
1:26:25 ;LuckyWheel;76561198157174770;-50;
1:26:44 ;LuckyWheel;76561198157174770;150;
1:26:55 ;LuckyWheel;76561198157174770;-50;
1:27:10 ;LuckyWheel;76561198157174770;-50;
1:27:32 ;LuckyWheel;76561198157174770;75;
1:27:49 ;LuckyWheel;76561198157174770;75;
1:28:0 ;LuckyWheel;76561198157174770;-50;
1:28:15 ;LuckyWheel;76561198157174770;100;
1:28:28 ;LuckyWheel;76561198157174770;-50;
1:28:40 ;LuckyWheel;76561198157174770;-50;
1:28:57 ;LuckyWheel;76561198157174770;-50;
1:29:11 ;LuckyWheel;76561198157174770;100;
1:29:21 ;LuckyWheel;76561198157174770;-50;
1:29:32 ;LuckyWheel;76561198157174770;-50;
1:29:44 ;LuckyWheel;76561198157174770;100;
1:29:55 ;LuckyWheel;76561198157174770;-50;
1:30:6 ;LuckyWheel;76561198157174770;100;
1:30:18 ;LuckyWheel;76561198157174770;-50;
1:30:36 ;LuckyWheel;76561198157174770;-50;
1:30:50 ;LuckyWheel;76561198157174770;75;
1:31:3 ;LuckyWheel;76561198157174770;1625;
1:31:20 ;LuckyWheel;76561198157174770;-50;
1:31:40 ;LuckyWheel;76561198157174770;-50;
1:31:55 ;LuckyWheel;76561198157174770;-50;
