time;game;playerid;win/lose;
17:59:46 ;BlackJack;76561198157174770;-10;
18:0:29 ;LuckyWheel;76561198034611550;-50;
18:0:33 ;BlackJack;76561198157174770;-10;
18:0:40 ;BlackJack;76561198157174770;15;
18:0:44 ;LuckyWheel;76561198034611550;-50;
18:0:50 ;BlackJack;76561198157174770;15;
18:0:58 ;LuckyWheel;76561198034611550;75;
18:0:59 ;BlackJack;76561198157174770;10;
18:1:10 ;BlackJack;76561198157174770;-100;
18:1:15 ;LuckyWheel;76561198034611550;100;
18:1:20 ;BlackJack;76561198157174770;-100;
18:1:27 ;LuckyWheel;76561198034611550;-50;
18:1:37 ;LuckyWheel;76561198034611550;-50;
18:1:40 ;LuckyWheel;76561198157174770;-50;
18:1:49 ;LuckyWheel;76561198034611550;75;
18:2:2 ;LuckyWheel;76561198034611550;100;
18:2:20 ;LuckyWheel;76561198034611550;75;
18:2:32 ;LuckyWheel;76561198034611550;725;
18:2:51 ;LuckyWheel;76561198157174770;100;
18:3:9 ;LuckyWheel;76561198157174770;-50;
18:3:23 ;LuckyWheel;76561198157174770;-50;
18:3:39 ;LuckyWheel;76561198157174770;-50;
18:3:52 ;LuckyWheel;76561198157174770;-50;
18:4:10 ;LuckyWheel;76561198157174770;100;
18:4:23 ;LuckyWheel;76561198157174770;-50;
18:4:39 ;LuckyWheel;76561198157174770;75;
18:4:53 ;LuckyWheel;76561198034611550;-50;
18:5:11 ;LuckyWheel;76561198034611550;-50;
18:5:20 ;RatRace;76561198157174770;-50;
18:5:25 ;LuckyWheel;76561198034611550;-50;
18:5:35 ;LuckyWheel;76561198034611550;75;
18:5:53 ;LuckyWheel;76561198034611550;-50;
18:5:59 ;DiceGame;76561198157174770;-30;
18:6:7 ;LuckyWheel;76561198034611550;-50;
18:6:17 ;BlackJack;76561198157174770;40;
18:6:19 ;LuckyWheel;76561198034611550;-50;
18:6:33 ;LuckyWheel;76561198034611550;75;
18:6:36 ;BlackJack;76561198157174770;-60;
18:6:41 ;BlackJack;76561198157174770;-60;
18:6:46 ;BlackJack;76561198157174770;90;
18:6:50 ;BlackJack;76561198157174770;-60;
18:6:52 ;BlackJack;76561198157174770;120;
18:6:53 ;LuckyWheel;76561198034611550;-50;
18:7:9 ;LuckyWheel;76561198034611550;-50;
18:7:12 ;BlackJack;76561198157174770;-80;
18:7:18 ;BlackJack;76561198157174770;120;
18:7:23 ;LuckyWheel;76561198034611550;-50;
18:7:24 ;BlackJack;76561198157174770;-80;
18:7:39 ;LuckyWheel;76561198034611550;-50;
18:7:44 ;BlackJack;76561198157174770;-757;
18:7:56 ;LuckyWheel;76561198034611550;75;
18:8:3 ;LuckyWheel;76561198157174770;-50;
18:8:7 ;LuckyWheel;76561198034611550;-50;
18:8:21 ;LuckyWheel;76561198034611550;-50;
18:8:33 ;LuckyWheel;76561198034611550;-50;
18:8:46 ;LuckyWheel;76561198034611550;100;
18:8:57 ;LuckyWheel;76561198034611550;-50;
18:9:42 ;BlackJack;76561198034611550;64;
18:10:2 ;BlackJack;76561198034611550;-64;
